video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name,split,sync_offset,sync_confidence,sync_min_distance,n_tracks,sync_status,sync_error,crop_path,sync_score
id01099__00206_id01157_ydgqfowvkko__cf7ea77bfd,id01099,id01157,-,fsgan,C,FakeVideo-RealAudio,Caucasian (European),men,00206_id01157_yDgqfOWVKko.mp4,FakeVideo-RealAudio/Caucasian (European)/men/id01099,FakeVideo-RealAudio/Caucasian (European)/men/id01099/00206_id01157_yDgqfOWVKko.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (European)/men/id01099/00206_id01157_yDgqfOWVKko.mp4,1,1,0,1,FAKE,train,-4.0,4.761382102966309,8.043899536132812,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01099__00206_id01157_ydgqfowvkko__cf7ea77bfd/00000.avi,0.1615266305124203
id00841__00078__5b4597b971,id00841,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00078.mp4,RealVideo-RealAudio/Caucasian (American)/women/id00841,RealVideo-RealAudio/Caucasian (American)/women/id00841/00078.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id00841/00078.mp4,1,0,0,0,REAL,train,-2.0,8.134002685546875,7.091572284698486,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00841__00078__5b4597b971/00000.avi,0.5774478434859549
id03716__00040__c4dadad6f6,id03716,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00040.mp4,RealVideo-RealAudio/Caucasian (European)/women/id03716,RealVideo-RealAudio/Caucasian (European)/women/id03716/00040.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id03716/00040.mp4,1,0,0,0,REAL,train,0.0,7.917749404907227,7.524039268493652,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03716__00040__c4dadad6f6/00000.avi,0.45085835276251657
id02051__00015_fake__759e725f9a,id02051,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,men,00015_fake.mp4,RealVideo-FakeAudio/African/men/id02051,RealVideo-FakeAudio/African/men/id02051/00015_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id02051/00015_fake.mp4,1,0,1,1,FAKE,train,-10.0,1.5650815963745115,12.34921646118164,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02051__00015_fake__759e725f9a/00000.avi,0.985040965742856
id00287__00005_id00379_fgkgyhcuk4g__06134cb2f3,id00287,id00379,-,fsgan,C,FakeVideo-RealAudio,Caucasian (European),women,00005_id00379_fgkgYHCuk4g.mp4,FakeVideo-RealAudio/Caucasian (European)/women/id00287,FakeVideo-RealAudio/Caucasian (European)/women/id00287/00005_id00379_fgkgYHCuk4g.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (European)/women/id00287/00005_id00379_fgkgYHCuk4g.mp4,1,1,0,1,FAKE,train,-1.0,4.074084281921387,9.925817489624023,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00287__00005_id00379_fgkgyhcuk4g__06134cb2f3/00000.avi,0.3065848007520048
id07377__00025_fake__de9daaf4d3,id07377,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (South),women,00025_fake.mp4,RealVideo-FakeAudio/Asian (South)/women/id07377,RealVideo-FakeAudio/Asian (South)/women/id07377/00025_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (South)/women/id07377/00025_fake.mp4,1,0,1,1,FAKE,train,9.0,4.325507164001465,10.983962059020996,2.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07377__00025_fake__de9daaf4d3/00000.avi,0.9939697715321396
id00169__00021_id01175_wavtolip__2c0fec4b74,id00169,id01175,-,wav2lip,C,FakeVideo-RealAudio,Caucasian (American),men,00021_id01175_wavtolip.mp4,FakeVideo-RealAudio/Caucasian (American)/men/id00169,FakeVideo-RealAudio/Caucasian (American)/men/id00169/00021_id01175_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (American)/men/id00169/00021_id01175_wavtolip.mp4,1,1,0,1,FAKE,train,-2.0,7.439830303192139,7.718662738800049,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00169__00021_id01175_wavtolip__2c0fec4b74/00000.avi,0.6084952218877431
id00813__00169__4588062a32,id00813,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00169.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00813,RealVideo-RealAudio/Caucasian (European)/women/id00813/00169.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00813/00169.mp4,1,0,0,0,REAL,train,0.0,6.2660064697265625,8.044055938720703,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00813__00169__4588062a32/00000.avi,0.1777915473953844
id03620__00081_fake__86076c469a,id03620,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),women,00081_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/women/id03620,RealVideo-FakeAudio/Caucasian (European)/women/id03620/00081_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/women/id03620/00081_fake.mp4,1,0,1,1,FAKE,train,11.0,0.7813539505004883,13.290037155151367,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03620__00081_fake__86076c469a/00000.avi,0.9945158689971875
id02494__00050_id01036_wavtolip__7144c19091,id02494,id01036,-,wav2lip,C,FakeVideo-RealAudio,African,men,00050_id01036_wavtolip.mp4,FakeVideo-RealAudio/African/men/id02494,FakeVideo-RealAudio/African/men/id02494/00050_id01036_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/African/men/id02494/00050_id01036_wavtolip.mp4,1,1,0,1,FAKE,val,-2.0,6.134992599487305,8.348042488098145,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02494__00050_id01036_wavtolip__7144c19091/00000.avi,0.4392667530860059
id00935__00005__a80fd583d0,id00935,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00005.mp4,RealVideo-RealAudio/Asian (East)/women/id00935,RealVideo-RealAudio/Asian (East)/women/id00935/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id00935/00005.mp4,1,0,0,0,REAL,val,-1.0,5.120059013366699,8.713412284851074,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00935__00005__a80fd583d0/00000.avi,0.18824642321543783
id07182__00040_id00103_qptvap4y5dq_id00773_wavtolip__b14ec87cac,id07182,id00103,id00773,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (South),men,00040_id00103_qpTVaP4y5DQ_id00773_wavtolip.mp4,FakeVideo-FakeAudio/Asian (South)/men/id07182,FakeVideo-FakeAudio/Asian (South)/men/id07182/00040_id00103_qpTVaP4y5DQ_id00773_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (South)/men/id07182/00040_id00103_qpTVaP4y5DQ_id00773_wavtolip.mp4,1,1,1,1,FAKE,val,-2.0,9.763870239257812,5.7607245445251465,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07182__00040_id00103_qptvap4y5dq_id00773_wavtolip__b14ec87cac/00000.avi,0.561920556833811
id00990__00160__f321f5226f,id00990,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00160.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00990,RealVideo-RealAudio/Caucasian (European)/men/id00990/00160.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00990/00160.mp4,1,0,0,0,REAL,train,-2.0,5.906322479248047,7.686712265014648,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00990__00160__f321f5226f/00000.avi,0.15892005273595858
id01036__00010__81674299af,id01036,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,RealVideo-RealAudio/African/men/id01036,RealVideo-RealAudio/African/men/id01036/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.mp4,1,0,0,0,REAL,train,1.0,6.868304252624512,8.051041603088379,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01036__00010__81674299af/00000.avi,0.4407141355028963
id00548__00015__55e09b84f5,id00548,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00015.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00548,RealVideo-RealAudio/Caucasian (European)/men/id00548/00015.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00548/00015.mp4,1,0,0,0,REAL,train,0.0,5.242356300354004,8.673261642456055,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00548__00015__55e09b84f5/00000.avi,0.13701623965205934
id00052__00015_id00018_sap_fjurhlc__637a5c6bff,id00052,id00018,-,fsgan,C,FakeVideo-RealAudio,Caucasian (American),men,00015_id00018_sap-FjURHlc.mp4,FakeVideo-RealAudio/Caucasian (American)/men/id00052,FakeVideo-RealAudio/Caucasian (American)/men/id00052/00015_id00018_sap-FjURHlc.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (American)/men/id00052/00015_id00018_sap-FjURHlc.mp4,1,1,0,1,FAKE,train,-1.0,6.405799865722656,8.517401695251465,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00052__00015_id00018_sap_fjurhlc__637a5c6bff/00000.avi,0.4823575445551769
id04687__00066__7c40b64710,id04687,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00066.mp4,RealVideo-RealAudio/Asian (East)/men/id04687,RealVideo-RealAudio/Asian (East)/men/id04687/00066.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id04687/00066.mp4,1,0,0,0,REAL,val,-1.0,4.951336860656738,8.2492094039917,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04687__00066__7c40b64710/00000.avi,0.07793933397304445
id00848__00028__d1e70bbae7,id00848,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00028.mp4,RealVideo-RealAudio/Caucasian (American)/women/id00848,RealVideo-RealAudio/Caucasian (American)/women/id00848/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id00848/00028.mp4,1,0,0,0,REAL,train,-1.0,5.517157554626465,8.16166877746582,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00848__00028__d1e70bbae7/00000.avi,0.13461354301688272
id02089__00092_fake__d6af6a4cb5,id02089,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (South),women,00092_fake.mp4,RealVideo-FakeAudio/Asian (South)/women/id02089,RealVideo-FakeAudio/Asian (South)/women/id02089/00092_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (South)/women/id02089/00092_fake.mp4,1,0,1,1,FAKE,train,0.0,0.6971168518066406,14.349967002868652,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02089__00092_fake__d6af6a4cb5/00000.avi,0.8392652205850593
id01392__00167__aac1e555ad,id01392,-,-,real,A,RealVideo-RealAudio,African,men,00167.mp4,RealVideo-RealAudio/African/men/id01392,RealVideo-RealAudio/African/men/id01392/00167.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01392/00167.mp4,1,0,0,0,REAL,train,-3.0,4.767118453979492,8.355303764343262,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01392__00167__aac1e555ad/00000.avi,0.16957962936536766
id00262__00028__975d1df524,id00262,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00028.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00262,RealVideo-RealAudio/Caucasian (European)/women/id00262/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00262/00028.mp4,1,0,0,0,REAL,train,0.0,6.93821907043457,7.666018009185791,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00262__00028__975d1df524/00000.avi,0.21939253646091642
id05631__00073_id06065_rni34ovupta__c417037ecc,id05631,id06065,-,fsgan,C,FakeVideo-RealAudio,Asian (East),women,00073_id06065_Rni34oVUpTA.mp4,FakeVideo-RealAudio/Asian (East)/women/id05631,FakeVideo-RealAudio/Asian (East)/women/id05631/00073_id06065_Rni34oVUpTA.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (East)/women/id05631/00073_id06065_Rni34oVUpTA.mp4,1,1,0,1,FAKE,train,1.0,4.456750869750977,8.652843475341797,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id05631__00073_id06065_rni34ovupta__c417037ecc/00000.avi,0.07930563107121613
id04222__00078_fake__6aa1f1e4eb,id04222,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),men,00078_fake.mp4,RealVideo-FakeAudio/Asian (East)/men/id04222,RealVideo-FakeAudio/Asian (East)/men/id04222/00078_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/men/id04222/00078_fake.mp4,1,0,1,1,FAKE,train,0.0,0.5631704330444336,13.033278465270996,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04222__00078_fake__6aa1f1e4eb/00000.avi,0.32116515356912867
id01098__00044__9050f53cbf,id01098,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00044.mp4,RealVideo-RealAudio/Caucasian (European)/men/id01098,RealVideo-RealAudio/Caucasian (European)/men/id01098/00044.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id01098/00044.mp4,1,0,0,0,REAL,train,0.0,4.850155830383301,8.90218448638916,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01098__00044__9050f53cbf/00000.avi,0.12140874479896638
id06355__00347__26d98edc9a,id06355,-,-,real,A,RealVideo-RealAudio,Asian (South),men,00347.mp4,RealVideo-RealAudio/Asian (South)/men/id06355,RealVideo-RealAudio/Asian (South)/men/id06355/00347.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/men/id06355/00347.mp4,1,0,0,0,REAL,val,-3.0,4.935430526733398,8.640219688415527,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06355__00347__26d98edc9a/00000.avi,0.2926682413978881
id03716__00040_id03651_ejcorkl6loi_faceswap_id00234_wavtolip__6d883f7c91,id03716,id03651,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),women,00040_id03651_EjcoRkL6loI_faceswap_id00234_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/women/id03716,FakeVideo-FakeAudio/Caucasian (European)/women/id03716/00040_id03651_EjcoRkL6loI_faceswap_id00234_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/women/id03716/00040_id03651_EjcoRkL6loI_faceswap_id00234_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,8.116907119750977,6.83769416809082,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03716__00040_id03651_ejcorkl6loi_faceswap_id00234_wavtolip__6d883f7c91/00000.avi,0.46530806679139014
id04736__00083_fake__d9eba6c2f6,id04736,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,women,00083_fake.mp4,RealVideo-FakeAudio/African/women/id04736,RealVideo-FakeAudio/African/women/id04736/00083_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/women/id04736/00083_fake.mp4,1,0,1,1,FAKE,train,13.0,0.9713344573974608,13.636551856994627,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04736__00083_fake__d9eba6c2f6/00000.avi,0.9990790795246356
id00597__00019__6a5db1b0a7,id00597,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00019.mp4,RealVideo-RealAudio/Asian (East)/men/id00597,RealVideo-RealAudio/Asian (East)/men/id00597/00019.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id00597/00019.mp4,1,0,0,0,REAL,train,-2.0,5.394246578216553,7.949992656707764,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00597__00019__6a5db1b0a7/00000.avi,0.12924146282770294
id01170__00021_id01597_52wezxe4_ge_id01076_wavtolip__8b28efdac7,id01170,id01597,id01076,fsgan-wav2lip,D,FakeVideo-FakeAudio,African,men,00021_id01597_52WEZxe4_GE_id01076_wavtolip.mp4,FakeVideo-FakeAudio/African/men/id01170,FakeVideo-FakeAudio/African/men/id01170/00021_id01597_52WEZxe4_GE_id01076_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/African/men/id01170/00021_id01597_52WEZxe4_GE_id01076_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,8.719661712646484,6.024232864379883,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01170__00021_id01597_52wezxe4_ge_id01076_wavtolip__8b28efdac7/00000.avi,0.33079847964683506
id04939__00174__3bf800fda8,id04939,-,-,real,A,RealVideo-RealAudio,African,women,00174.mp4,RealVideo-RealAudio/African/women/id04939,RealVideo-RealAudio/African/women/id04939/00174.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id04939/00174.mp4,1,0,0,0,REAL,train,-1.0,6.859372138977051,8.234280586242676,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04939__00174__3bf800fda8/00000.avi,0.5147410704028883
id00529__00409_id03678_dsfcxodi9i8_faceswap_id01042_wavtolip__82a97b3bf1,id00529,id03678,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Caucasian (American),men,00409_id03678_dsfCxodI9i8_faceswap_id01042_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (American)/men/id00529,FakeVideo-FakeAudio/Caucasian (American)/men/id00529/00409_id03678_dsfCxodI9i8_faceswap_id01042_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (American)/men/id00529/00409_id03678_dsfCxodI9i8_faceswap_id01042_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,7.5274176597595215,7.14730167388916,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00529__00409_id03678_dsfcxodi9i8_faceswap_id01042_wavtolip__82a97b3bf1/00000.avi,0.3999028522218439
id02508__00083__f580da19fa,id02508,-,-,real,A,RealVideo-RealAudio,African,women,00083.mp4,RealVideo-RealAudio/African/women/id02508,RealVideo-RealAudio/African/women/id02508/00083.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02508/00083.mp4,1,0,0,0,REAL,train,0.0,6.415582656860352,8.02039909362793,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02508__00083__f580da19fa/00000.avi,0.20245513892097006
id00266__00470_id00594_2whhoksbevw_faceswap_id01102_wavtolip__fbc35133e1,id00266,id00594,faceswap,faceswap-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),men,00470_id00594_2WHHoksbeVw_faceswap_id01102_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/men/id00266,FakeVideo-FakeAudio/Caucasian (European)/men/id00266/00470_id00594_2WHHoksbeVw_faceswap_id01102_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/men/id00266/00470_id00594_2WHHoksbeVw_faceswap_id01102_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,6.947269916534424,6.970990180969238,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00266__00470_id00594_2whhoksbevw_faceswap_id01102_wavtolip__fbc35133e1/00000.avi,0.18539693032527446
id06462__00014__dbefa65a49,id06462,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00014.mp4,RealVideo-RealAudio/Asian (East)/women/id06462,RealVideo-RealAudio/Asian (East)/women/id06462/00014.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id06462/00014.mp4,1,0,0,0,REAL,val,-2.0,6.982573986053467,7.1592020988464355,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06462__00014__dbefa65a49/00000.avi,0.24687807396402975
id00848__00028_fake__f62155e87f,id00848,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (American),women,00028_fake.mp4,RealVideo-FakeAudio/Caucasian (American)/women/id00848,RealVideo-FakeAudio/Caucasian (American)/women/id00848/00028_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (American)/women/id00848/00028_fake.mp4,1,0,1,1,FAKE,train,-15.0,1.141815185546875,14.292189598083496,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00848__00028_fake__f62155e87f/00000.avi,0.9999061343017944
id07108__00412__20effc4a0d,id07108,-,-,real,A,RealVideo-RealAudio,Asian (South),men,00412.mp4,RealVideo-RealAudio/Asian (South)/men/id07108,RealVideo-RealAudio/Asian (South)/men/id07108/00412.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/men/id07108/00412.mp4,1,0,0,0,REAL,train,-2.0,6.714553356170654,7.7579522132873535,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07108__00412__20effc4a0d/00000.avi,0.38607209761260036
id00100__00028__40870332ef,id00100,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00028.mp4,RealVideo-RealAudio/Caucasian (American)/women/id00100,RealVideo-RealAudio/Caucasian (American)/women/id00100/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id00100/00028.mp4,1,0,0,0,REAL,val,0.0,6.640415191650391,7.376402854919434,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00100__00028__40870332ef/00000.avi,0.10370883455768624
id02948__00298__8137e19190,id02948,-,-,real,A,RealVideo-RealAudio,African,women,00298.mp4,RealVideo-RealAudio/African/women/id02948,RealVideo-RealAudio/African/women/id02948/00298.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02948/00298.mp4,1,0,0,0,REAL,train,-3.0,6.5823869705200195,8.120298385620117,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02948__00298__8137e19190/00000.avi,0.60956181027903
